timestamp,x,y,z
1520680356966,-0.71,-1.52,11.15
1520680357160,-0.65,8.38,-4.35
1520680357357,-0.95,8.10,-4.32
1520680357557,-1.82,8.93,-0.91
1520680357756,2.24,8.22,-9.33
1520680357956,0.06,9.01,-5.17
1520680358155,-0.97,7.46,-5.26
1520680358354,-2.04,9.10,-5.71
1520680358553,-0.93,9.62,-2.42
1520680358794,0.39,6.35,2.75
1520680358951,3.27,7.59,1.47
1520680359151,4.98,6.48,4.25
1520680359351,5.94,4.89,4.43
1520680359549,6.74,4.04,4.40
1520680359749,7.06,3.44,4.79
1520680359948,6.05,5.12,3.80
1520680360147,4.48,7.55,2.31
1520680360346,2.05,8.74,1.95
1520680360546,-0.82,9.41,-0.97
1520680360745,1.27,8.16,-2.14
1520680360944,-4.43,7.43,-5.42
1520680361144,-4.50,7.65,-7.44
1520680361359,-4.03,5.24,-7.44
1520680361542,-5.32,6.74,-9.72
1520680361767,-1.37,7.72,-2.70
1520680361965,1.73,11.07,1.99
1520680362165,1.77,8.91,1.08
1520680362363,4.62,7.22,3.06
1520680362562,5.96,6.47,3.31
1520680362762,6.30,4.66,4.03
1520680362960,7.07,3.91,4.89
1520680363160,6.92,4.41,4.96
1520680363359,5.46,5.70,3.68
1520680363559,4.93,6.56,3.35
1520680363757,3.78,8.16,1.89
1520680363957,2.36,8.98,0.40
1520680364157,0.35,9.16,-0.72
1520680364355,-1.22,10.54,-1.79
1520680364610,-1.70,7.10,-3.65
1520680364753,-3.52,6.72,-7.46
1520680364955,-3.14,5.07,-7.16
1520680365154,-3.85,4.95,-10.07
1520680365353,-5.04,6.04,-9.39
1520680365552,-1.88,6.16,1.43
1520680365751,2.30,9.33,1.18
1520680365950,2.03,8.15,2.64
1520680366146,4.05,6.88,2.61
1520680366348,5.53,6.37,3.92
1520680366547,6.41,4.64,4.00
1520680366746,7.23,4.02,5.10
1520680366945,7.10,3.57,5.68
1520680367145,5.87,4.90,4.49
1520680367343,5.08,6.36,4.01
1520680367542,4.01,7.20,2.58
1520680367743,2.68,8.12,2.05
1520680367941,0.64,8.55,-0.39
1520680368166,-2.30,11.31,-2.05
1520680368366,-0.56,7.48,-4.14
1520680368564,-2.44,6.91,-9.96
1520680368764,-2.59,4.85,-10.31
1520680368963,-2.76,5.56,-12.23
1520680369162,-1.53,6.90,-3.80
1520680369361,1.32,11.23,4.65
1520680369560,1.32,8.28,2.60
1520680369759,3.62,8.00,3.13
1520680369958,5.27,5.34,3.96
