timestamp,x,y,z
1521054897645,-1.12,-2.50,9.45
1521054897771,3.85,7.55,6.84
1521054897958,0.20,6.11,6.05
1521054898160,1.08,5.39,7.97
1521054898387,3.52,5.76,11.18
1521054898561,0.33,5.56,8.15
1521054898766,-2.13,5.37,4.50
1521054898969,-1.95,5.74,5.32
1521054899190,0.98,4.91,8.69
1521054899349,2.30,4.07,10.02
1521054899541,2.56,3.53,9.91
1521054899747,2.14,3.72,9.32
1521054899965,0.62,4.98,8.20
1521054900169,-1.29,5.80,5.44
1521054900361,-2.80,5.62,5.22
1521054900662,-0.30,4.74,7.01
1521054900745,1.39,4.64,9.87
1521054900966,2.31,3.51,9.27
1521054901315,2.63,3.69,10.08
1521054901354,2.36,3.73,9.35
1521054901552,1.64,5.31,9.72
1521054901851,-0.05,5.12,6.62
1521054902056,-2.67,5.64,5.18
1521054902159,-1.55,6.15,5.99
1521054902464,0.12,6.08,8.17
1521054902547,0.63,5.02,8.78
1521054902767,1.09,4.70,9.44
1521054903067,2.13,4.56,9.97
1521054903155,1.42,5.35,9.33
1521054903461,0.67,5.57,7.85
1521054903572,-1.01,6.20,6.43
1521054903845,-2.01,5.59,4.92
1521054904063,-0.20,5.85,7.70
1521054904304,1.44,5.67,8.21
1521054904458,1.97,4.79,8.74
1521054904668,2.47,4.61,9.61
1521054904759,2.55,4.64,9.13
1521054905060,1.45,5.18,8.56
1521054905247,-0.32,5.70,6.35
1521054905469,-2.36,5.97,5.08
1521054905549,-0.62,5.89,7.07
1521054905769,1.15,5.54,8.46
1521054906108,1.69,4.84,8.62
1521054906262,2.43,4.78,9.30
1521054906358,2.32,5.01,9.54
1521054906671,1.05,5.61,8.07
1521054906751,-1.88,5.90,5.96
1521054907053,-1.88,5.64,6.12
1521054907259,0.44,6.17,8.16
1521054907448,0.97,4.72,8.60
1521054907654,1.69,4.40,9.38
1521054907853,2.25,4.22,10.40
1521054908052,1.53,4.98,9.17
1521054908251,-0.29,5.62,6.79
1521054908451,-2.52,5.68,5.33
1521054908650,-0.98,5.84,6.82
1521054908902,0.88,5.17,8.10
1521054909049,1.86,4.73,9.44
1521054909248,1.87,4.00,9.16
1521054909447,2.24,3.97,9.48
1521054909646,1.87,4.79,9.89
1521054909846,0.01,5.01,7.96
1521054910045,-2.54,4.74,6.41
1521054910244,-1.93,4.97,6.98
1521054910443,-0.41,5.56,8.76
1521054910668,1.06,4.12,9.43
1521054910866,-2.00,5.09,8.24
1521054911065,0.88,2.99,7.82
1521054911265,3.38,-2.26,6.61
1521054911463,1.98,1.39,7.92
1521054911663,3.46,2.89,8.81
1521054911862,3.57,2.05,8.20
1521054912067,3.33,0.98,8.52
1521054912261,3.55,1.15,9.08
1521054912442,3.56,1.24,8.81
1521054912648,3.48,1.07,8.75
1521054912854,3.51,1.21,8.85
1521054913057,3.39,1.18,8.78
