timestamp,x,y,z
1520679915094,1.86,1.01,9.92
1520679915267,0.44,1.46,9.53
1520679915466,1.59,1.34,11.49
1520679915665,4.21,-2.77,8.90
1520679915865,4.71,-3.40,7.12
1520679916063,5.44,-2.91,7.60
1520679916264,5.30,-1.55,5.52
1520679916463,5.15,-1.71,3.63
1520679916662,8.73,-2.18,4.85
1520679916861,10.16,-2.32,5.21
1520679917060,9.79,-1.30,5.02
1520679917259,10.92,-1.34,5.10
1520679917458,10.58,-2.01,5.09
1520679917657,8.86,-2.36,4.84
1520679917856,5.77,-2.24,3.87
1520679918056,5.99,-2.43,4.28
1520679918254,7.55,-2.31,5.18
1520679918454,7.29,-2.88,5.49
1520679918653,6.72,-2.09,5.15
1520679918853,5.28,-1.80,3.47
1520679919052,6.90,-2.38,4.46
1520679919251,9.77,-1.28,5.12
1520679919451,10.49,-1.54,4.55
1520679919650,10.84,-0.90,4.75
1520679919849,11.66,-1.86,5.50
1520679920049,10.46,-1.78,4.97
1520679920248,8.27,-1.98,4.32
1520679920446,6.28,-2.31,3.88
1520679920645,5.99,-2.20,4.14
1520679920844,7.36,-2.37,5.31
1520679921044,7.61,-1.88,5.47
1520679921243,5.26,-1.44,3.88
1520679921443,6.34,-2.64,3.88
1520679921642,8.72,-2.94,5.06
1520679921866,9.03,-1.56,5.02
1520679922064,8.83,-0.55,4.86
1520679922264,12.08,-0.78,6.51
1520679922522,10.48,-1.66,5.29
1520679922664,8.90,-1.98,4.50
1520679922863,6.21,-2.11,3.93
1520679923062,5.56,-2.33,4.04
1520679923260,7.06,-2.30,5.09
1520679923460,7.62,-1.79,5.76
1520679923659,4.74,-0.76,3.82
1520679923858,6.78,-2.41,4.80
1520679924057,8.77,-1.92,5.43
1520679924256,9.83,-1.24,5.51
1520679924556,9.86,-0.21,5.15
1520679924754,11.77,0.19,6.26
1520679924954,10.35,-0.97,5.43
1520679925152,8.68,-0.81,4.46
1520679925352,6.06,-1.81,4.29
1520679925552,5.78,-1.85,4.40
1520679925750,6.98,-1.34,5.02
1520679925949,7.55,-0.71,6.00
1520679926150,5.64,-0.85,4.57
1520679926350,5.50,-2.42,4.14
1520679926550,8.10,-1.72,5.20
1520679926747,9.32,-1.29,5.20
1520679926946,9.67,-1.41,5.32
1520679927145,12.05,-0.79,6.84
1520679927345,9.93,-1.27,4.92
1520679927545,10.21,-1.69,5.26
1520679927743,7.83,-1.44,4.51
1520679927942,5.41,-2.11,4.01
1520679928166,7.20,-1.86,5.12
1520679928364,7.47,-1.27,6.45
1520679928564,4.85,-0.55,4.00
1520679928763,6.18,-1.09,4.09
1520679928962,8.58,-1.62,5.27
1520679929162,9.36,-0.77,5.30
1520679929361,9.37,-0.14,5.29
1520679929636,12.64,0.08,6.99
1520679929760,10.33,-1.13,5.60
1520679929960,8.33,-1.33,5.08
1520679930159,5.61,-0.96,4.53
1520679930359,4.73,-2.02,4.16
1520679930558,7.19,-1.75,5.68
1520679930756,7.04,-0.60,6.39
1520679930956,5.12,-1.07,4.59
1520679931154,6.05,-1.89,4.49
1520679931353,8.66,-0.42,6.02
1520679931553,10.36,-0.63,5.81
1520679931752,9.91,0.14,5.71
1520679931951,11.78,-0.33,6.87
1520679932150,9.92,-0.88,5.48
1520679932349,8.35,-1.18,5.38
1520679932550,5.75,-1.07,3.90
1520679932747,5.76,-1.26,4.47
1520679932947,7.05,-1.11,5.47
1520679933214,7.36,0.11,6.10
1520679933346,4.47,-0.62,4.04
1520679933547,6.81,-1.37,4.68
1520679933745,8.72,-0.23,5.37
1520679933944,9.14,-0.19,5.59
1520679934168,9.39,0.65,5.79
1520679934366,12.01,0.41,6.56
1520679934565,9.75,-0.84,5.60
1520679934766,8.42,-1.06,5.42
1520679934965,5.84,-0.82,4.30
1520679935164,5.84,-0.97,3.95
1520679935363,7.03,-0.60,5.51
1520679935562,7.19,0.55,6.03
1520679935761,4.35,0.27,3.75
1520679935960,6.49,-0.84,4.31
1520679936159,8.75,-0.31,5.49
1520679936358,8.85,0.20,5.72
1520679936558,9.96,0.74,5.78
1520679936828,11.69,-0.08,6.57
1520679936958,9.70,-0.64,5.64
1520679937157,8.05,-0.75,5.15
1520679937356,5.29,-1.14,4.26
1520679937555,5.65,-1.29,4.32
1520679937754,7.38,-1.01,5.85
1520679937952,7.27,-0.30,5.77
1520679938152,4.30,-0.64,3.72
1520679938352,6.37,-1.04,4.56
1520679938551,9.75,-0.18,5.94
1520679938750,9.40,-0.31,6.01
1520679938949,9.70,0.87,6.54
1520679939148,10.94,0.93,6.23
1520679939347,9.78,-0.95,6.00
1520679939547,7.94,-0.40,5.49
1520679939746,6.49,-0.30,4.65
1520679939944,5.67,-0.59,4.86
1520679940145,5.52,3.16,2.74
1520679940345,4.83,-2.36,7.83
1520679940546,1.40,-0.99,10.25
1520679940744,0.33,0.00,10.27
1520679940967,0.33,-0.21,10.19
1520679941166,0.33,0.46,9.96
1520679941365,0.20,0.64,10.03
1520679941563,0.42,0.55,9.95
1520679941762,0.11,-0.20,10.23
1520679941961,0.63,0.92,9.96
1520679942161,-0.01,1.63,9.90
1520679942360,0.19,0.83,9.83
1520679942573,0.29,0.89,9.96
