timestamp,x,y,z
1525419313145,0.63,-1.15,9.67
1525419313247,-1.07,10.33,2.33
1525419313445,-0.13,9.17,4.43
1525419313643,-5.24,-1.80,5.72
1525419313843,-1.50,1.37,11.28
1525419314041,1.10,6.98,12.29
1525419314241,3.08,4.65,9.06
1525419314439,-0.60,3.52,9.10
1525419314639,-1.97,-1.85,9.21
1525419314838,-3.44,-3.16,7.80
1525419315063,-6.00,-6.12,5.82
1525419315261,-6.61,-6.86,4.61
1525419315461,-5.10,-4.58,6.52
1525419315718,-2.60,-1.17,8.86
1525419315859,-0.79,3.11,10.77
1525419316058,2.69,6.87,7.66
1525419316257,-0.44,4.59,8.57
1525419316457,-1.69,2.66,8.77
1525419316656,-4.30,-0.95,7.30
1525419316855,-6.98,-5.88,5.64
1525419317055,-6.74,-5.93,5.59
1525419317254,-5.01,-2.94,7.23
1525419317453,-2.81,0.73,8.38
1525419317652,-1.50,3.74,8.78
1525419317851,0.60,8.80,8.47
1525419318100,-1.81,3.11,10.04
1525419318250,-2.27,1.92,8.99
1525419318449,-4.07,-0.48,7.64
1525419318648,-6.96,-4.49,5.59
1525419318847,-6.99,-5.89,5.12
1525419319046,-6.05,-3.66,5.82
1525419319246,-3.94,0.17,7.99
1525419319445,-2.15,3.41,8.93
1525419319644,1.24,8.95,8.26
1525419319844,-0.77,4.45,10.58
1525419320143,-2.68,1.46,7.85
1525419320342,-5.36,-1.21,8.13
1525419320541,-5.64,-3.46,5.60
1525419320740,-5.93,-7.80,2.31
1525419320939,-3.94,-10.27,3.39
1525419321138,-1.19,-3.92,12.15
1525419321362,-4.19,-4.93,3.59
1525419321463,5.19,-13.57,6.21
1525419321637,3.81,-12.71,6.92
1525419321861,3.84,-8.53,0.63
1525419322060,5.01,-6.07,0.53
1525419322259,3.46,-7.56,-1.90
1525419322458,6.58,-8.04,-0.84
1525419322658,2.55,-3.94,-1.03
1525419322856,7.27,-24.08,-23.06
1525419323056,16.80,12.26,7.14
1525419323354,39.23,-21.05,-39.10
1525419323554,19.36,11.33,7.61
1525419323753,17.89,-19.46,-9.05
1525419323953,7.33,14.95,-14.61
1525419324152,8.51,-16.15,11.06
1525419324351,-4.99,10.27,-16.14
1525419324603,13.95,-9.37,13.64
1525419324750,-6.27,7.49,-26.42
1525419324948,15.05,-4.13,11.04
1525419325147,9.50,-3.24,-39.21
1525419325347,17.65,6.92,7.72
1525419325546,31.05,-16.66,-39.12
1525419325746,18.98,11.30,6.32
1525419325944,20.06,-26.88,-24.90
1525419326144,14.16,17.31,-6.40
1525419326343,15.37,-20.78,12.00
1525419326542,-1.50,18.15,-15.51
