timestamp,x,y,z
1525419135642,0.15,-1.76,9.61
1525419135841,1.66,5.50,7.90
1525419136041,0.54,4.28,9.89
1525419136239,-0.19,4.01,7.65
1525419136463,2.04,5.84,11.39
1525419136539,1.16,5.22,10.15
1525419136739,-0.94,5.07,5.78
1525419136962,-1.64,5.75,3.65
1525419137160,0.89,6.13,6.62
1525419137389,2.51,5.68,9.51
1525419137659,3.54,5.63,11.31
1525419137759,1.55,5.72,8.93
1525419138057,-1.50,5.61,4.40
1525419138256,-2.23,5.70,4.09
1525419138455,0.14,6.23,6.96
1525419138654,2.62,6.51,9.68
1525419138854,3.76,6.50,10.15
1525419139054,1.00,6.13,7.47
1525419139252,-1.35,5.71,5.24
1525419139451,-2.25,5.74,4.07
1525419139650,0.68,5.82,7.73
1525419139850,2.53,5.66,8.95
1525419140049,4.56,6.44,11.10
1525419140249,1.79,5.80,7.91
1525419140447,-0.79,5.35,4.70
1525419140646,-0.26,4.08,2.43
1525419140846,6.07,0.07,13.52
1525419141045,10.69,-2.77,9.38
1525419141244,10.50,-2.02,3.51
1525419141443,8.78,-3.61,2.42
1525419141643,9.06,-2.75,3.13
1525419141842,8.87,-0.05,2.55
1525419142072,8.36,0.19,4.19
1525419142241,8.96,0.53,4.37
1525419142440,9.39,0.44,3.39
1525419142639,17.72,11.16,-11.36
1525419142839,10.43,-2.33,1.58
1525419143039,4.09,-7.33,0.75
1525419143237,0.04,-4.22,-1.38
1525419143461,31.49,-25.24,3.78
1525419143660,17.91,14.81,-8.37
1525419143859,16.95,-21.65,4.61
1525419144059,12.92,24.13,-13.86
1525419144257,14.88,-21.50,8.72
1525419144457,1.81,18.61,-13.81
1525419144657,14.81,-16.15,13.27
1525419144855,-5.31,10.80,-16.96
1525419145055,12.52,2.41,5.44
1525419145253,-6.76,10.42,-24.13
1525419145454,13.22,-7.33,11.11
1525419145651,-1.89,5.40,-39.20
1525419145851,18.19,1.76,7.20
1525419146051,15.75,-17.91,-39.21
1525419146250,18.23,11.02,7.08
1525419146448,33.45,-32.21,-39.22
1525419146679,16.49,14.18,-1.87
1525419146847,6.09,-24.71,2.34
1525419147046,4.99,14.17,-5.72
1525419147246,5.20,-17.96,9.61
1525419147445,-1.44,11.98,-18.52
1525419147644,12.83,-8.09,10.59
1525419147843,-4.56,7.07,-30.89
1525419148042,17.27,3.61,7.11
1525419148242,13.56,-17.50,-37.87
1525419148441,2.55,-1.36,-4.80
1525419148640,5.46,-5.62,-2.85
1525419148839,7.53,-6.97,-0.30
1525419149038,9.02,-4.82,-3.23
1525419149297,6.11,-4.26,-1.64
1525419149466,3.96,-8.44,-1.66
1525419149661,0.79,-14.62,-2.65
1525419149860,-3.15,-7.52,3.23
1525419150060,-10.03,-2.97,4.54
1525419150258,-6.51,0.98,4.14
1525419150458,-6.88,-0.14,10.15
1525419150657,-4.03,7.56,9.72
1525419150856,-4.86,0.43,9.44
1525419151055,-5.31,0.58,7.61
1525419151254,-5.81,-4.53,6.66
1525419151454,-5.78,-5.41,5.69
1525419151653,-5.42,-2.94,6.92
1525419151852,-4.84,0.03,8.34
1525419152052,-4.09,4.87,8.47
1525419152250,-3.22,4.34,8.63
1525419152487,-4.52,1.42,8.65
1525419152649,-4.93,-1.38,7.32
1525419152849,-6.11,-5.04,6.28
1525419153047,-6.24,-5.94,5.33
1525419153247,-5.81,-3.34,6.88
1525419153446,-4.62,0.84,8.28
1525419153645,-3.12,3.75,9.47
1525419153844,-1.80,4.62,8.69
1525419154043,-4.29,0.74,9.22
1525419154243,-4.52,-0.84,7.34
1525419154442,-5.80,-4.68,5.90
1525419154641,-6.15,-6.05,5.20
1525419154841,-5.99,-5.16,6.21
1525419155040,-5.32,-2.39,7.76
1525419155239,-4.56,1.33,8.45
1525419155438,-4.47,4.06,8.20
1525419155663,-1.91,4.85,8.07
1525419155861,-4.36,2.52,8.86
1525419156061,-4.19,-1.00,8.43
1525419156260,-5.09,-3.94,7.45
1525419156459,-5.52,-6.10,9.06
1525419156658,-7.62,0.01,5.98
1525419156857,-3.52,0.43,6.30
1525419157057,5.56,-0.14,9.51
1525419157256,0.00,6.22,6.72
1525419157455,9.28,-5.38,8.46
1525419157655,10.71,-7.69,6.91
1525419157854,11.16,-5.02,1.95
1525419158053,7.54,-11.55,9.25
1525419158252,7.37,-5.04,-5.31
1525419158452,5.85,-17.61,-1.37
1525419158650,5.53,-8.23,0.79
1525419158850,3.43,-5.17,3.46
1525419159049,-2.91,-6.58,2.01
1525419159288,-6.08,-7.09,2.36
1525419159447,-9.76,-8.94,2.26
1525419159646,-11.24,-8.99,4.06
1525419159846,-7.95,-7.09,0.31
1525419160045,-4.56,-6.41,1.22
1525419160244,-5.04,-3.92,2.27
1525419160444,-7.36,-5.62,3.12
1525419160643,-7.36,-5.71,2.83
1525419160842,-7.09,-5.47,2.60
1525419161041,-5.01,-3.62,1.23
1525419161240,-6.56,-5.14,-0.73
1525419161540,-9.24,-7.56,-2.12
1525419161738,-9.94,-9.07,-2.86
1525419161938,-10.08,-9.03,-2.04
1525419162164,-8.74,-7.41,-1.16
1525419162261,-5.18,-4.52,0.05
1525419162460,-5.31,-3.26,2.51
1525419162660,-7.32,-4.67,4.31
1525419162859,-7.36,-4.72,4.30
1525419163058,-7.37,-4.99,3.95
1525419163257,-7.28,-4.68,3.44
1525419163456,-5.05,-3.59,1.46
1525419163656,-7.01,-5.22,-0.19
1525419163855,-9.55,-7.84,-1.79
1525419164054,-10.68,-9.89,-2.22
1525419164254,-10.30,-9.28,-1.32
1525419164453,-7.58,-6.81,-0.12
1525419164652,-4.97,-3.68,0.96
1525419164951,-6.35,-3.28,3.51
1525419165150,-7.28,-4.52,4.25
1525419165350,-7.47,-4.58,4.27
1525419165548,-7.33,-4.74,4.24
1525419165748,-6.50,-4.61,2.99
1525419165947,-5.15,-3.19,-0.01
1525419166145,-7.67,-6.01,-0.94
1525419166388,-9.55,-7.59,-1.77
1525419166545,-11.83,-10.21,-2.59
1525419166744,-9.89,-8.44,-1.17
1525419166944,-7.11,-5.63,0.33
1525419167142,-3.49,-2.12,0.96
1525419167341,-7.49,-5.07,5.40
1525419167541,-5.05,-4.34,5.07
1525419167740,-5.80,-7.41,4.80
1525419167939,-1.07,-0.12,10.90
1525419168138,0.20,-0.53,10.80
1525419168362,0.71,-0.13,10.10
1525419168562,-1.05,4.81,9.55
1525419168761,0.59,-0.64,9.66
1525419168960,0.59,-0.96,9.76
1525419169161,0.80,-0.88,9.68
1525419169358,0.78,-0.96,9.79
1525419169558,0.83,-0.93,9.68
1525419169757,0.87,-0.98,9.72
1525419169957,1.61,-0.85,9.71
1525419170157,0.23,-1.81,9.69
1525419170354,0.75,-1.16,9.73
1525419170554,0.77,-1.06,9.77
1525419170753,0.72,-1.21,9.77
1525419170952,0.74,-1.10,9.75
1525419171166,0.97,1.70,11.42
1525419171352,0.67,-3.53,9.09
1525419171551,0.67,-1.66,9.81
1525419171750,0.59,-1.22,9.76
1525419171949,0.65,-1.11,9.67
