timestamp,x,y,z
1527235092571,0.69,6.74,8.42
1527235092840,-0.83,5.73,7.77
1527235093068,-0.56,5.59,8.04
1527235093240,-0.52,5.82,7.89
1527235093438,1.64,5.64,8.88
1527235093639,0.03,4.26,8.30
1527235093837,-1.71,5.04,7.75
1527235094062,-0.57,4.13,8.56
1527235094136,-0.16,4.12,9.42
1527235094361,-0.10,4.08,8.89
1527235094559,0.00,3.96,9.00
1527235094758,0.20,3.75,9.14
1527235095057,0.24,3.85,8.91
1527235095256,0.68,4.20,9.93
1527235095456,0.55,4.75,10.05
1527235095655,-0.20,5.23,7.68
1527235095854,-1.82,5.81,4.93
1527235096053,-1.98,6.55,4.60
1527235096292,0.46,5.99,7.13
1527235096451,1.46,4.70,9.05
1527235096651,1.62,4.57,9.51
1527235096851,1.60,3.68,9.34
1527235097050,1.43,3.90,8.58
1527235097249,2.54,4.32,10.47
1527235097448,1.59,5.20,9.63
1527235097649,-0.24,5.46,6.74
1527235097846,-2.14,6.10,4.02
1527235098046,-1.77,6.14,4.94
1527235098244,0.06,5.56,8.26
1527235098444,2.01,4.06,10.95
1527235098643,2.02,3.72,9.69
1527235098843,1.51,3.46,8.84
1527235099041,1.98,3.73,9.13
1527235099240,2.41,4.63,10.01
1527235099440,1.12,5.21,8.47
1527235099639,-0.44,5.70,6.03
1527235099838,-2.28,5.92,4.85
1527235100070,-0.74,5.95,5.52
1527235100237,0.65,4.46,9.01
1527235100461,2.46,2.86,10.87
1527235100661,1.74,2.75,9.26
1527235100861,1.60,3.10,8.96
1527235101058,2.44,3.52,10.98
1527235101257,2.28,4.03,10.39
1527235101458,0.95,4.64,7.79
1527235101656,-1.11,5.93,5.25
1527235101855,-1.55,6.34,4.51
1527235102054,0.08,4.91,7.34
1527235102253,1.93,4.11,9.79
1527235102453,2.34,3.83,10.69
1527235102651,1.73,3.48,8.83
1527235102852,1.67,3.43,8.72
1527235103050,1.73,3.34,8.75
1527235103282,1.97,3.34,9.03
1527235103448,1.83,3.50,8.52
1527235103647,2.03,3.47,8.99
1527235103847,2.02,3.53,8.88
1527235104046,2.06,3.50,9.04
1527235104245,2.03,3.53,8.75
1527235104444,2.00,3.49,8.49
1527235104644,2.30,3.48,8.89
1527235104843,2.15,3.54,8.53
1527235105042,2.30,3.41,8.86
1527235105241,2.16,3.41,8.62
1527235105440,2.20,3.27,8.70
1527235105640,2.76,2.69,8.23
1527235105839,4.31,1.63,10.25
1527235106039,3.27,2.15,7.67
1527235106263,4.09,-0.32,7.23
1527235106461,5.01,-2.95,6.92
1527235106699,6.23,-3.47,6.17
1527235106860,6.94,-3.07,5.55
1527235107060,7.71,-1.68,4.94
1527235107258,7.20,-0.03,5.83
1527235107458,7.66,0.97,5.26
1527235107657,7.81,1.72,4.73
1527235107856,13.08,0.30,7.86
1527235108055,10.47,1.35,4.24
1527235108255,10.41,-0.30,5.20
1527235108454,6.25,-3.14,5.79
1527235108653,2.00,-1.47,5.37
1527235108852,3.89,-1.41,5.51
1527235109051,8.86,-4.12,4.64
1527235109251,7.93,-4.04,3.89
1527235109450,7.39,-4.07,3.32
1527235109649,7.61,-4.06,3.48
1527235109848,7.53,-3.74,3.45
1527235110048,7.69,-4.01,2.98
1527235110247,7.46,-4.77,2.88
1527235110446,7.11,-5.84,1.78
1527235110681,4.67,-0.70,0.62
1527235110845,19.87,-39.23,-21.76
1527235111044,20.64,19.34,6.70
1527235111243,26.37,-27.06,-14.20
1527235111442,24.41,13.78,-17.69
1527235111641,9.54,-12.10,8.08
1527235111841,10.16,-5.27,-24.46
1527235112040,14.10,-6.41,15.13
1527235112239,39.22,-34.98,-38.98
1527235112438,17.02,16.78,11.31
1527235112637,11.40,-23.36,-2.22
1527235112862,15.41,7.17,-9.96
1527235113061,11.37,-7.71,10.96
1527235113260,9.88,0.56,-30.75
1527235113459,17.76,-3.94,14.09
1527235113658,25.32,-14.95,-32.18
1527235113857,3.52,-3.19,0.27
1527235114057,2.84,-7.79,-4.16
1527235114256,3.75,-8.01,-4.30
1527235114455,3.90,-7.44,-4.34
1527235114655,3.73,-7.51,-4.16
1527235114854,3.76,-7.59,-4.69
1527235115053,3.81,-7.42,-4.39
1527235115252,3.79,-7.59,-4.45
1527235115451,3.73,-7.72,-4.63
1527235115650,3.69,-7.60,-4.50
1527235115850,3.69,-7.80,-4.42
1527235116049,3.82,-7.73,-4.35
1527235116248,3.80,-7.61,-4.41
1527235116447,3.84,-7.58,-4.45
1527235116647,3.83,-7.57,-4.31
1527235116846,4.04,-7.24,-4.27
1527235117045,2.26,-7.33,-5.63
1527235117244,2.79,-6.56,-3.58
1527235117444,3.71,-7.35,-3.67
1527235117643,4.66,-6.91,-1.93
1527235117842,7.22,-6.94,-2.66
1527235118041,11.42,-4.47,-1.87
1527235118241,9.66,-4.65,2.89
1527235118442,7.24,-3.14,2.24
1527235118646,5.10,2.40,9.92
1527235118838,7.06,-3.93,4.90
1527235119062,6.19,-4.99,5.25
1527235119236,5.88,-4.62,4.71
1527235119461,3.46,-6.24,2.73
1527235119660,8.16,-2.38,5.44
1527235119859,6.59,-3.00,4.70
1527235120058,6.76,-4.51,5.05
1527235120257,6.95,-3.78,4.70
1527235120457,7.20,-4.19,5.57
1527235120656,5.01,-7.59,4.61
1527235120855,3.93,-6.88,7.08
1527235121054,1.87,-5.35,7.68
1527235121254,1.15,-4.72,8.52
1527235121453,-0.41,-5.47,7.80
1527235121652,0.37,-5.78,7.28
1527235121858,-0.60,-5.87,7.37
1527235122052,-1.00,-6.93,8.34
1527235122250,-2.22,-7.91,6.17
1527235122449,-3.88,-8.55,3.69
1527235122648,-5.06,-11.16,3.03
1527235122847,-5.46,-6.17,-3.99
1527235123046,0.44,4.25,7.54
1527235123246,0.68,-0.51,7.13
1527235123446,-0.11,2.01,9.74
1527235123644,-0.03,1.96,9.48
1527235123843,0.50,1.95,9.61
1527235124043,-0.20,1.34,9.77
1527235124242,-2.85,-1.93,9.68
1527235124441,-4.32,-2.08,7.60
1527235124640,-3.73,-2.74,7.87
1527235124840,-3.06,-0.84,10.43
1527235125080,0.18,1.06,8.19
1527235125239,2.02,2.71,7.79
1527235125462,3.00,3.52,9.32
1527235125661,-1.65,-2.27,9.19
1527235125860,-4.10,-3.96,8.17
1527235126060,-3.88,-4.38,8.37
1527235126259,-2.96,-2.98,8.46
1527235126458,-1.06,-1.36,10.64
1527235126658,2.83,1.28,8.23
1527235126856,2.91,2.40,7.91
1527235127056,3.70,3.48,7.88
1527235127255,1.50,1.20,10.48
1527235127454,-2.50,-3.87,8.66
1527235127653,-4.15,-4.35,8.03
1527235127853,-3.69,-5.69,7.90
1527235128052,-2.60,-3.84,7.92
1527235128295,-1.31,-1.97,8.22
1527235128450,3.11,1.25,8.20
1527235128649,4.20,3.52,7.79
1527235128849,5.16,3.72,7.58
1527235129048,3.11,1.58,9.31
1527235129247,-0.43,-4.10,8.64
1527235129446,-3.23,-4.16,7.83
1527235129646,-3.45,-5.22,7.82
1527235129845,-1.94,-4.76,8.79
1527235130044,0.98,-0.81,9.92
1527235130343,4.19,2.82,8.89
1527235130542,4.01,4.01,8.13
1527235130741,2.72,3.03,8.59
1527235130941,2.46,3.08,8.89
1527235131140,2.18,2.89,8.94
1527235131339,2.03,2.73,9.07
1527235131539,1.98,2.92,9.00
1527235131784,1.92,2.71,9.15
1527235131963,1.85,2.77,9.02
1527235132061,1.57,2.54,9.22
1527235132262,1.74,2.52,9.10
1527235132459,1.65,2.51,9.28
1527235132659,1.77,2.57,9.19
1527235132858,1.48,2.40,9.15
1527235133064,1.64,2.51,9.26
1527235133257,1.61,2.50,9.27
1527235133456,1.55,2.43,9.21
1527235133655,1.60,2.42,9.33
1527235133854,2.10,1.65,9.48
1527235134153,6.16,3.00,11.45
1527235134352,-2.50,0.32,6.88
1527235134552,-5.10,-5.35,8.91
1527235134751,-1.04,-1.43,10.38
1527235134953,1.78,1.17,9.35
1527235135158,0.76,-4.96,9.91
1527235135348,5.73,-2.37,7.78
1527235135547,8.05,-1.37,4.93
1527235135747,10.02,-0.77,1.74
1527235135946,9.93,1.07,-1.01
1527235136147,8.16,1.53,-7.43
1527235136345,8.41,-0.22,-6.59
1527235136543,6.14,0.45,-7.15
1527235136743,7.53,2.33,-4.99
1527235136942,7.90,1.95,-3.10
1527235137143,8.70,1.21,-1.60
1527235137340,9.02,1.84,-1.82
1527235137540,7.31,-0.09,1.16
1527235137739,8.10,-0.83,0.28
1527235137938,10.22,-0.49,0.57
1527235138140,9.93,-2.96,-0.89
1527235138410,8.75,-2.44,-0.84
1527235138565,8.96,-3.15,0.77
1527235138768,8.65,-5.72,0.43
1527235138959,6.28,-11.36,-0.63
1527235139158,-1.26,-5.53,0.29
1527235139358,-5.83,-5.55,3.03
1527235139557,-7.64,-3.58,2.85
1527235139756,-9.08,-4.29,4.58
1527235139956,-9.34,-3.37,3.82
1527235140155,-8.57,-3.59,3.78
1527235140354,-8.63,-3.73,3.90
1527235140553,-8.66,-3.87,3.91
1527235140752,-8.73,-3.97,3.78
1527235140952,-8.10,-4.30,3.81
1527235141151,-8.04,-4.78,4.35
1527235141350,-8.02,-4.07,3.11
1527235141549,-7.87,-3.91,3.14
1527235141799,-5.70,-4.08,2.38
1527235141948,-5.76,-5.89,1.93
1527235142147,-7.73,-5.89,3.88
1527235142346,-8.26,-6.51,5.29
1527235142545,-9.84,-6.57,6.38
1527235142744,-9.69,-7.30,6.74
1527235142943,-7.44,-5.08,5.24
1527235143144,-4.12,-2.32,4.32
1527235143342,-4.25,-2.18,4.33
1527235143541,-5.89,-3.28,7.03
1527235143740,-5.69,-3.12,6.78
1527235143939,-6.09,-3.67,6.80
1527235144140,-5.80,-3.40,6.69
1527235144338,-4.96,-3.12,5.90
1527235144562,-4.79,-3.46,3.77
1527235144761,-6.65,-4.86,4.43
