timestamp,x,y,z
1525418803244,-1.56,0.01,9.56
1525418803444,-0.57,2.48,9.69
1525418803643,-0.48,2.13,9.59
1525418803871,-0.82,2.47,9.48
1525418804042,-1.55,2.65,9.19
1525418804241,-1.60,3.11,9.11
1525418804440,-1.62,3.22,9.09
1525418804639,-1.64,3.48,8.71
1525418804839,-2.23,2.84,8.99
1525418805039,-3.20,2.69,7.68
1525418805262,-6.42,-3.65,8.50
1525418805461,-5.46,-3.26,6.53
1525418805660,-5.65,-3.71,5.54
1525418805860,-5.04,-3.98,5.29
1525418806059,-5.35,-4.60,4.93
1525418806258,-7.01,-5.69,6.13
1525418806458,-8.96,-6.95,6.92
1525418806656,-9.48,-6.87,7.77
1525418806857,-7.65,-5.57,6.93
1525418807055,-4.36,-2.34,5.01
1525418807284,-4.07,-0.89,5.27
1525418807453,-5.41,-0.65,8.34
1525418807653,-5.09,-0.69,8.35
1525418807853,-4.94,-0.72,8.25
1525418808051,-3.96,-0.85,6.16
1525418808250,-5.25,-2.48,5.99
1525418808450,-6.13,-4.40,6.77
1525418808649,-7.26,-4.98,7.66
1525418808849,-7.74,-5.77,7.68
1525418809048,-8.71,-6.14,9.13
1525418809247,-7.13,-4.91,7.41
1525418809477,-4.08,-2.19,4.59
1525418809645,-3.29,-0.41,5.60
1525418809844,-4.80,-1.25,8.93
1525418810044,-4.73,-1.23,8.53
1525418810243,-4.74,-1.18,8.42
1525418810442,-4.15,-1.05,7.54
1525418810670,-4.66,-1.71,5.48
1525418810840,-5.27,-2.88,6.11
1525418811040,-6.79,-3.97,7.68
1525418811239,-8.13,-5.72,8.46
1525418811438,-8.72,-6.09,9.68
1525418811639,-6.99,-4.38,7.75
1525418811861,-4.37,-2.30,5.83
1525418812060,-3.96,-1.34,5.68
1525418812259,-4.79,-0.78,8.26
1525418812458,-4.92,-1.30,8.21
1525418812658,-4.95,-1.33,8.08
1525418812856,-5.29,-1.42,7.96
1525418813057,-4.21,-1.41,5.72
1525418813255,-5.01,-2.66,5.46
1525418813488,-7.29,-4.83,6.57
1525418813654,-8.15,-6.06,7.55
1525418813853,-8.78,-5.95,7.87
1525418814052,-8.16,-5.61,7.71
1525418814251,-6.55,-4.20,7.02
1525418814451,-4.76,-2.81,5.19
1525418814649,-4.21,-1.61,5.61
1525418814849,-3.55,-3.07,6.93
1525418815048,-5.73,-6.38,6.34
1525418815247,-3.42,-8.74,3.71
1525418815446,-0.23,-8.27,4.59
1525418815645,0.50,-6.82,4.47
1525418815845,5.35,-9.43,9.02
1525418816044,15.44,-2.41,12.94
