timestamp,x,y,z
1521053208805,-1.22,1.78,9.61
1521053208862,-0.89,6.97,6.76
1521053209053,-1.18,7.40,6.96
1521053209267,-1.96,6.71,6.23
1521053209456,-2.24,8.50,5.82
1521053209643,-3.19,7.21,6.30
1521053209865,-3.02,7.39,6.86
1521053210038,-1.51,3.45,10.36
1521053210243,-1.69,2.90,8.70
1521053210465,2.58,5.82,8.94
1521053210686,-1.54,2.19,9.81
1521053210845,-2.80,0.58,8.92
1521053211082,-4.39,-1.96,8.12
1521053211268,-5.95,-4.27,6.56
1521053211460,-7.26,-5.90,5.11
1521053211760,-5.31,-3.60,7.03
1521053211840,-2.44,-1.51,8.85
1521053212078,-0.76,2.16,11.44
1521053212266,1.51,4.38,9.93
1521053212553,-2.83,-0.82,9.44
1521053212648,-3.74,-1.02,8.83
1521053212949,-5.63,-2.70,7.50
1521053213222,-6.34,-5.96,5.32
1521053213272,-6.69,-6.08,4.92
1521053213452,-4.22,-2.86,7.31
1521053213657,-3.05,-1.04,8.95
1521053213862,2.21,5.91,11.35
1521053214150,-1.86,0.11,10.62
1521053214369,-2.30,-0.82,8.83
1521053214558,-4.02,-3.16,8.40
1521053214778,-6.00,-5.88,6.21
1521053214858,-7.21,-6.85,4.44
1521053215045,-5.49,-4.48,6.53
1521053215348,-3.05,-1.80,8.62
1521053215554,-0.90,1.27,11.71
1521053215744,1.29,3.31,10.06
1521053215950,-1.89,-1.74,9.25
1521053216169,-3.81,-2.29,8.99
1521053216249,-4.67,-4.89,6.56
1521053216525,-6.47,-7.01,4.25
1521053216645,-6.33,-6.61,5.29
1521053216947,-4.15,-2.62,7.96
1521053217153,-1.96,-0.77,8.81
1521053217371,2.98,4.90,11.54
1521053217451,-0.81,-0.70,11.41
1521053217752,-1.79,-1.52,8.83
1521053218005,-3.48,-3.93,8.48
1521053218146,-6.09,-6.03,4.77
1521053218367,-5.31,-6.38,5.20
1521053218543,-3.95,-3.10,7.70
1521053218752,-2.17,-1.36,9.26
1521053218953,-0.82,1.94,13.02
1521053219151,0.35,-0.00,10.45
1521053219350,-1.71,-1.02,9.12
1521053219549,-2.89,-2.77,8.20
1521053219748,-5.86,-5.08,5.84
1521053219948,-7.11,-6.64,4.80
1521053220146,-5.58,-5.05,6.28
1521053220345,-2.75,-1.73,8.50
1521053220598,-0.40,0.10,9.85
1521053220745,3.91,4.73,10.06
1521053220946,-2.13,-1.31,11.06
1521053221168,-2.30,-1.56,8.54
1521053221368,-4.24,-3.55,7.67
1521053221566,-5.80,-6.04,5.66
1521053221766,-6.43,-6.24,5.61
1521053221964,-4.27,-3.53,7.67
1521053222164,-1.89,-1.66,9.27
1521053222363,1.11,2.59,11.99
1521053222562,1.85,1.06,9.93
1521053222761,-1.57,-0.75,9.09
1521053222960,-2.67,-2.28,8.48
1521053223160,-6.03,-5.36,5.25
1521053223359,-7.26,-7.11,4.47
1521053223558,-5.61,-5.13,5.77
1521053223818,-2.95,-1.22,8.40
1521053223958,-0.25,0.72,10.31
1521053224157,3.36,4.33,8.65
1521053224355,-1.21,-0.55,10.45
1521053224555,-2.36,-2.32,8.82
1521053224754,-4.32,-4.01,6.80
1521053224955,-6.63,-6.96,4.15
1521053225152,-6.94,-7.51,3.90
1521053225351,-5.17,-4.54,6.00
1521053225550,-2.82,-1.30,8.45
1521053225750,0.14,0.80,9.83
1521053225950,2.79,2.59,9.28
1521053226148,-1.26,-0.40,10.99
1521053226347,-2.27,-0.45,9.41
1521053226546,-3.71,-3.60,8.55
1521053226745,-4.82,-3.98,8.07
1521053226946,-2.13,-3.14,9.76
1521053227170,-0.81,-0.52,9.79
1521053227369,0.64,3.03,8.55
1521053227548,6.42,0.93,10.75
1521053227757,0.81,2.89,8.99
1521053227962,1.01,2.76,9.23
1521053228150,2.06,3.72,9.91
1521053228342,1.35,3.02,8.83
1521053228565,1.49,3.24,8.97
1521053228750,1.39,2.98,9.08
1521053228942,1.23,3.36,8.87
1521053229146,1.18,3.16,8.85
1521053229453,1.41,3.19,9.20
