timestamp,x,y,z
1521054656474,-0.03,0.56,10.68
1521054656762,-0.65,-1.73,9.65
1521054656860,-1.07,-1.83,9.45
1521054657063,-1.35,-0.37,9.64
1521054657262,-4.02,-4.35,5.25
1521054657441,-2.22,-5.94,0.22
1521054657663,26.63,-22.11,-23.16
1521054657853,12.18,13.36,-7.19
1521054658060,15.34,-33.74,-16.07
1521054658259,1.91,9.47,-11.16
1521054658467,8.70,-9.55,15.94
1521054658642,5.31,13.24,-9.46
1521054658851,9.39,-2.93,8.90
1521054659056,-1.05,10.93,-10.83
1521054659255,10.02,-7.53,6.94
1521054659464,-8.95,3.19,-13.03
1521054659671,10.57,-0.14,8.14
1521054659846,-6.40,-2.43,-27.52
1521054660092,13.91,1.92,3.41
1521054660251,5.29,-13.11,-39.22
1521054660460,13.62,7.43,2.88
1521054660667,39.21,-37.99,-37.69
1521054660843,13.74,10.45,-12.10
1521054661062,7.50,-33.57,-5.60
1521054661247,4.37,13.39,-12.47
1521054661457,7.60,-19.57,9.58
1521054661664,0.73,11.23,-10.51
1521054661869,11.79,-5.76,12.13
1521054662113,-2.63,3.09,-19.47
1521054662274,13.72,2.63,4.83
1521054662453,6.47,-12.24,-39.23
1521054662645,13.92,10.14,0.42
1521054662867,26.27,-31.45,-37.94
1521054663087,13.09,14.03,-4.82
1521054663257,13.58,-31.22,-25.93
1521054663466,10.54,12.44,-8.83
1521054663670,4.33,-21.14,-2.71
1521054663862,7.56,12.29,-11.52
1521054664066,3.48,-16.50,12.81
1521054664267,0.41,-4.74,-11.32
1521054664499,6.99,-3.90,-0.53
1521054664654,1.38,6.07,12.64
1521054664858,0.91,-0.60,9.55
1521054665062,-0.36,-1.12,10.42
1521054665256,-0.24,0.04,9.58
1521054665441,-0.17,0.33,9.74
1521054665664,-0.07,0.59,9.27
