timestamp,x,y,z
1520680151892,0.64,1.09,9.82
1520680152064,-0.64,1.27,9.98
1520680152164,-1.84,0.78,8.52
1520680152362,-1.90,-1.83,11.26
1520680152562,-0.51,3.87,8.64
1520680152761,-1.99,0.40,10.73
1520680153059,-2.76,1.50,10.21
1520680153259,-2.13,1.60,9.42
1520680153457,-2.11,2.71,8.23
1520680153657,-2.48,2.55,8.30
1520680153857,-3.20,1.41,9.56
1520680154056,-4.11,-0.67,10.33
1520680154255,-4.02,-0.55,9.99
1520680154454,-3.85,-1.80,9.20
1520680154653,-4.11,-1.31,9.26
1520680154852,-4.34,-1.89,9.63
1520680155051,-4.96,-2.46,11.00
1520680155251,-3.84,-0.70,9.75
1520680155450,-2.20,0.74,8.10
1520680155649,-2.05,1.64,7.40
1520680155848,-2.49,0.75,10.12
1520680156047,-3.40,0.15,9.22
1520680156247,-4.08,-1.47,9.38
1520680156512,-4.11,-2.33,9.99
1520680156645,-3.51,-2.43,9.19
1520680156846,-3.80,-3.05,9.34
1520680157045,-3.98,-3.10,9.89
1520680157244,-3.54,-2.83,10.67
1520680157443,-2.64,-0.81,9.40
1520680157667,-2.27,0.67,8.61
1520680157865,-2.24,0.91,8.65
1520680158064,-2.38,0.17,8.63
1520680158263,-3.17,-0.56,9.62
1520680158463,-3.27,-1.71,9.77
1520680158662,-3.77,-2.85,10.00
1520680158854,-3.63,-3.11,9.53
1520680159062,-3.92,-3.62,9.32
1520680159259,-3.82,-3.60,9.96
1520680159459,-3.61,-3.07,10.04
1520680159659,-2.36,-0.74,9.57
1520680159858,-2.03,0.26,8.78
1520680160058,-2.37,0.74,8.84
1520680160254,-2.19,0,8.94
1520680160456,-2.81,-1.30,9.80
1520680160655,-2.50,-2.03,9.46
1520680160854,-2.87,-2.80,9.94
1520680161054,-3.45,-2.94,9.68
1520680161252,-3.54,-3.39,9.29
1520680161451,-3.26,-3.49,8.95
1520680161650,-3.50,-4.15,10.63
1520680161849,-3.08,-2.35,9.57
1520680162050,-1.70,-0.38,8.20
1520680162248,-1.96,0.68,8.98
1520680162447,-2.11,0.73,8.60
1520680162646,-2.98,-0.53,9.68
1520680162845,-2.94,-1.57,10.06
1520680163045,-2.78,-2.33,9.63
1520680163244,-3.64,-3.38,9.65
1520680163443,-3.33,-3.42,8.99
1520680163642,-3.39,-3.54,9.26
1520680163842,-3.33,-3.87,8.99
1520680164066,-3.39,-4.07,9.67
1520680164265,-3.40,-3.13,10.35
1520680164463,-2.52,-1.31,9.82
1520680164663,-1.70,0.52,8.26
1520680164862,-1.91,0.69,8.49
1520680165138,-1.78,-0.65,9.83
1520680165262,-2.26,-1.95,10.01
1520680165461,-2.90,-2.24,9.75
1520680165660,-3.09,-3.50,9.72
1520680165859,-3.09,-3.48,9.02
1520680166059,-3.02,-3.98,9.20
1520680166258,-3.08,-4.07,8.57
1520680166457,-4.18,-4.92,10.97
1520680166656,-2.57,-2.68,9.76
1520680166856,-2.06,-1.05,8.75
1520680167055,-1.89,0.05,8.96
1520680167253,-1.61,0.71,8.04
1520680167453,-2.60,-1.09,10.02
1520680167651,-2.27,-1.85,9.98
1520680167852,-2.41,-1.90,9.23
1520680168050,-2.76,-2.57,10.29
1520680168249,-2.91,-2.45,9.36
1520680168449,-2.76,-3.11,10.55
1520680168647,-0.36,-0.89,9.32
1520680168847,-1.39,-3.11,10.60
1520680169046,-1.67,-3.63,9.72
1520680169245,0.56,-2.72,10.91
1520680169531,-0.56,-2.24,9.98
1520680169645,-0.77,-1.72,9.93
1520680169845,-0.64,-1.75,9.95
1520680170069,-0.56,-1.81,9.96
