timestamp,x,y,z
1525418203049,-0.58,2.88,9.51
1525418203248,-0.67,2.75,9.48
1525418203447,1.71,-2.37,9.61
1525418203651,1.24,1.75,10.10
1525418203867,-0.91,2.11,8.64
1525418204044,1.15,-0.19,11.30
1525418204244,-1.21,1.88,8.77
1525418204444,-3.21,2.39,6.25
1525418204642,-3.64,3.22,4.94
1525418204841,-1.29,2.15,9.60
1525418205041,0.95,1.03,11.74
1525418205240,3.04,0.94,13.82
1525418205439,0.35,1.53,11.04
1525418205639,-2.35,2.27,8.48
1525418205838,-2.92,3.54,5.34
1525418206038,-3.96,2.96,6.76
1525418206262,-0.72,2.17,9.00
1525418206460,1.39,1.59,12.29
1525418206659,1.81,1.02,11.21
1525418206859,1.61,1.31,11.22
1525418207058,-0.22,1.86,11.08
1525418207257,-1.81,2.77,7.61
1525418207457,-3.56,3.01,3.78
1525418207655,-2.69,2.53,8.15
1525418207854,-0.29,1.87,9.92
1525418208054,1.25,1.45,11.70
1525418208253,1.26,1.33,10.74
1525418208452,1.21,1.85,11.73
1525418208651,-0.47,2.59,10.68
1525418208851,-2.41,3.36,6.41
1525418209050,-3.52,4.15,4.76
1525418209249,-2.66,3.26,7.40
1525418209448,-0.19,2.02,10.21
1525418209648,1.30,1.46,11.61
1525418209847,1.44,1.25,10.27
1525418210046,1.00,1.48,10.19
1525418210276,0.26,1.42,10.76
1525418210445,-0.16,1.99,8.94
1525418210644,-3.47,3.72,6.12
1525418210843,-3.08,3.11,5.80
1525418211043,-0.36,1.80,10.26
1525418211242,1.50,1.86,10.81
1525418211441,1.55,1.32,11.05
1525418211640,1.76,1.13,11.32
1525418211839,1.41,1.92,11.35
1525418212040,-1.16,2.75,8.09
1525418212239,-3.49,3.63,4.70
1525418212438,-2.78,3.37,7.03
1525418212662,0.17,2.01,10.60
1525418212860,2.25,1.26,11.50
1525418213059,1.80,1.01,10.40
1525418213292,1.39,1.01,9.76
1525418213458,1.92,2.03,11.04
1525418213657,0.69,2.64,9.87
1525418213856,-2.85,2.88,6.34
1525418214055,-3.72,3.77,4.32
1525418214254,-0.46,2.45,8.91
1525418214453,1.85,1.49,11.48
1525418214653,2.32,1.35,10.31
1525418214852,1.46,1.23,9.66
1525418215051,2.18,1.56,11.28
1525418215250,1.03,2.58,10.20
1525418215449,-2.45,3.01,6.58
1525418215648,-3.09,2.74,5.48
1525418215848,0.56,1.67,10.12
1525418216047,2.35,0.89,11.92
1525418216247,1.68,0.23,10.32
1525418216445,1.77,0.50,10.00
1525418216645,2.75,1.43,12.25
1525418216844,-0.27,2.79,9.25
1525418217078,-2.02,3.19,6.77
1525418217243,-3.12,3.88,4.00
1525418217441,0.00,1.24,9.97
1525418217641,2.04,1.11,11.89
1525418217840,1.79,0.77,9.82
1525418218039,1.67,0.55,10.28
1525418218338,1.82,1.58,12.43
1525418218563,0.56,2.02,9.64
1525418218662,-2.73,3.88,6.27
1525418218861,-3.02,3.43,4.88
1525418219060,-0.16,2.91,9.11
1525418219260,2.02,1.77,12.30
1525418219458,2.08,0.75,10.63
1525418219658,1.70,0.88,9.89
1525418219857,2.16,1.79,11.84
1525418220070,-0.27,3.16,9.61
1525418220292,-2.71,3.37,4.90
1525418220455,-3.22,3.69,5.18
1525418220654,-0.23,3.22,8.83
1525418220854,2.13,0.92,12.30
1525418221052,1.92,0.90,10.45
1525418221251,1.57,1.17,10.10
1525418221551,2.13,1.72,11.64
1525418221750,0.73,3.10,10.34
1525418221949,-2.50,4.05,6.20
1525418222148,-3.40,4.00,3.94
1525418222347,-1.22,3.62,8.60
1525418222547,1.63,0.82,12.69
1525418222746,2.30,0.45,10.98
1525418222945,1.50,0.53,9.89
1525418223144,1.83,1.05,12.24
1525418223343,0.33,2.25,9.91
1525418223543,-1.90,3.23,6.63
1525418223780,-2.68,3.19,5.28
1525418223941,0.13,2.42,10.07
1525418224140,1.66,1.69,11.37
1525418224340,1.59,0.99,10.17
1525418224539,3.46,1.69,11.86
1525418224738,1.20,2.52,10.36
1525418224962,-0.82,2.50,8.53
1525418225197,-3.94,3.55,3.97
1525418225360,-1.55,3.06,7.77
1525418225560,2.09,1.45,11.60
1525418225759,2.12,0.99,11.05
1525418225958,1.38,0.50,9.64
1525418226157,1.86,1.04,12.16
1525418226357,2.02,1.79,10.83
1525418226556,-1.79,2.47,7.20
1525418226755,-3.22,3.54,5.97
1525418226954,-2.19,3.29,7.24
1525418227153,0.64,1.34,10.85
1525418227353,1.72,0.72,11.23
1525418227551,1.36,0.35,10.13
1525418227751,1.52,0.38,10.32
1525418227951,1.65,1.41,11.28
1525418228149,0.10,2.75,9.28
1525418228349,-1.33,3.21,6.30
1525418228548,-2.66,3.91,5.76
1525418228747,0.21,1.51,9.94
1525418228946,-0.96,-0.35,10.95
1525418229145,0.38,-0.09,9.54
1525418229345,2.14,1.80,11.12
1525418229544,0.31,1.15,9.51
1525418229744,-0.47,1.55,9.65
1525418229942,-0.56,1.67,9.51
1525418230141,-0.57,2.39,9.54
1525418230341,-0.59,2.53,9.49
1525418230540,-0.34,2.83,9.39
1525418230739,-0.41,2.42,9.52
1525418230938,-0.50,2.43,9.55
1525418231138,-0.47,2.87,9.36
1525418231363,-0.48,2.90,9.34
1525418231561,-0.54,2.93,9.28
1525418231761,-0.53,2.87,9.31
1525418231959,-0.53,2.83,9.34
1525418232159,-0.56,2.97,9.24
1525418232358,-0.45,2.83,9.41
1525418232557,-0.47,2.83,9.44
1525418232756,-0.46,2.95,9.34
1525418233001,-0.91,2.30,9.87
