timestamp,x,y,z
1521053421367,-0.41,1.70,8.25
1521053421558,0.14,-0.15,9.75
1521053421759,-2.55,0.02,9.99
1521053421964,-2.81,2.26,9.96
1521053422156,-3.74,2.01,8.67
1521053422395,-3.50,-2.45,5.68
1521053422563,-4.35,-3.19,5.75
1521053422742,-7.54,-7.62,6.47
1521053422978,-11.22,-11.25,7.05
1521053423166,-7.98,-7.55,5.89
1521053423382,-4.00,-2.63,4.32
1521053423559,-4.65,-2.26,4.96
1521053423751,-5.27,-2.96,6.19
1521053423974,-5.08,-3.63,3.21
1521053424164,-6.97,-6.86,5.37
1521053424369,-8.15,-7.16,6.61
1521053424558,-9.12,-7.76,7.26
1521053424764,-8.19,-6.77,7.02
1521053424948,-4.86,-3.33,4.32
1521053425159,-3.62,-2.31,5.11
1521053425365,-5.21,-3.38,7.90
1521053425569,-4.29,-3.49,5.54
1521053425744,-4.55,-2.55,5.54
1521053425965,-7.54,-3.93,7.60
1521053426156,-8.08,-6.19,8.50
1521053426366,-9.26,-6.83,9.84
1521053426552,-6.67,-4.95,7.27
1521053426741,-3.92,-2.94,4.96
1521053426973,-3.70,-1.86,6.24
1521053427151,-4.67,-2.66,7.73
1521053427361,-3.84,-2.24,5.47
1521053427562,-4.33,-3.10,7.05
1521053427768,-6.87,-5.38,7.52
1521053427968,-7.42,-6.16,7.76
1521053428149,-8.86,-7.85,9.83
1521053428357,-6.64,-5.31,7.11
1521053428543,-3.73,-2.05,4.59
1521053428750,-3.80,-1.76,5.96
1521053428964,-4.46,-2.50,8.03
1521053429199,-4.73,-2.39,6.74
1521053429354,-4.03,-3.13,5.38
1521053429572,-7.09,-5.73,6.92
1521053429748,-8.46,-6.91,6.97
1521053429961,-9.26,-7.65,8.34
1521053430172,-7.64,-5.99,7.11
1521053430359,-5.22,-3.57,5.63
1521053430596,-3.83,-2.96,4.36
1521053430743,-6.48,-4.35,6.51
1521053430958,-5.21,-4.09,5.96
1521053431168,-4.84,-3.46,3.59
1521053431343,-6.17,-5.01,4.80
1521053431544,-8.92,-7.98,5.14
1521053431768,-9.64,-9.25,5.64
1521053431966,-8.64,-7.80,5.50
1521053432165,-6.36,-5.44,3.96
1521053432364,-3.78,-2.78,3.32
1521053432563,-7.24,-5.34,6.81
1521053432763,-5.99,-4.09,5.71
1521053433015,-4.63,-3.14,3.69
1521053433162,-5.67,-5.17,3.48
1521053433361,-8.24,-8.94,4.54
1521053433561,-9.74,-10.87,4.99
1521053433760,-8.74,-8.71,4.48
1521053433958,-6.26,-6.01,3.48
1521053434158,-3.94,-3.62,2.48
1521053434357,-6.96,-4.93,4.63
1521053434556,-6.90,-5.55,4.41
1521053434755,-4.79,-3.60,3.35
1521053434954,-5.89,-5.29,2.77
1521053435153,-8.72,-8.16,3.52
1521053435353,-9.41,-9.00,2.98
1521053435552,-10.06,-9.39,3.79
1521053435751,-7.60,-6.28,3.68
1521053435950,-4.99,-4.19,2.71
1521053436207,-5.12,-3.22,3.94
1521053436350,-6.36,-5.20,4.88
1521053436549,-5.31,-3.76,4.14
1521053436748,-5.59,-3.98,2.99
1521053436947,-7.57,-6.52,4.17
1521053437146,-10.24,-9.86,5.44
1521053437346,-8.93,-7.47,8.47
1521053437644,-5.69,-3.86,6.64
1521053437843,-2.09,-0.81,4.74
1521053438073,-2.27,-1.04,7.59
1521053438167,-1.33,-0.00,10.52
1521053438367,-0.91,0.45,10.25
1521053438555,0.03,0.25,9.78
1521053438870,0.39,0.26,9.87
1521053438963,0.36,0.59,9.64
1521053439288,0.20,0.49,9.71
1521053439413,-1.56,0.84,9.34
