timestamp,value
1520588223217,95827
1520588224213,95835
1520588225208,95831
1520588226203,95824
1520588227199,95822
1520588228096,95826
1520588229092,95817
1520588230124,95824
1520588231121,95814
1520588232080,95812
1520588233086,95814
1520588234182,95802
1520588235178,95799
1520588236075,95802
1520588237070,95809
1520588238291,95825
1520588239187,95825
1520588240084,95827
1520588241080,95823
1520588242175,95833
1520588243137,95837
1520588244168,95833
1520588245064,95829
