timestamp,x
1520672491181,2.03
1520672491362,0.89
1520672491561,0.75
1520672491760,0.68
1520672491959,0.77
1520672492159,3.03
1520672492358,10.43
1520672492557,8.66
1520672492757,9.23
1520672492956,9.37
1520672493154,5.55
1520672493354,1.65
1520672493553,1.01
1520672493752,1.08
1520672493951,0.42
1520672494199,4.05
1520672494350,6.57
1520672494549,9.13
1520672494748,9.04
1520672494947,8.92
1520672495146,8.94
1520672495345,6.07
1520672495544,1.48
1520672495745,0.86
1520672495944,0.96
1520672496143,0.11
1520672496367,2.65
1520672496565,7.24
1520672496766,8.66
1520672496964,8.51
1520672497164,9.39
1520672497363,8.19
1520672497562,3.01
1520672497786,0.12
1520672498018,1.14
1520672498162,0.14
1520672498361,1.10
1520672498561,1.18
