timestamp,x,y,z,w
0,1520674665654,2.44,-2.58,7.82
1,1520674665853,-0.46,-1.59,12.68
10,1520674661644,-0.44,-5.23,10.56
11,1520674661843,-1.10,-1.97,12.78
12,1520674662043,-0.74,-2.59,10.08
13,1520674662242,-1.03,-2.79,12.84
14,1520674662466,-0.08,-0.60,9.13
15,1520674662664,6.63,-1.92,2.59
16,1520674662864,9.52,-2.39,-3.11
17,1520674663062,9.31,-0.53,-1.90
18,1520674663262,9.21,-1.21,-2.01
19,1520674663461,5.96,-2.74,3.03
2,1520674666054,-0.31,0.55,9.43
20,1520674663661,0.52,-4.27,11.98
21,1520674663860,-0.41,-1.75,11.49
22,1520674664112,-0.42,-2.12,10.09
23,1520674664258,-0.66,-1.80,10.09
24,1520674664458,-1.30,-1.95,13.71
25,1520674664657,3.91,-1.21,5.49
26,1520674664856,8.56,-1.93,0.32
27,1520674665055,9.58,-0.92,-2.60
28,1520674665254,9.51,-0.50,-2.49
29,1520674665497,8.10,-0.79,0.37
3,1520674666251,-0.70,-0.78,10.18
4,1520674666451,-0.67,-0.75,9.96
5,1520674666648,-0.65,-0.85,9.95
6,1520674666849,-1.92,-0.99,8.20
7,1520674667047,-0.62,-0.87,10.00
8,1520674667246,-0.62,-0.72,10.01
9,1520674661446,6.60,-1.86,2.58
