timestamp,x,y,z
1520675532205,-1.70,-0.80,9.45
1520675532354,-0.68,1.03,9.49
1520675532613,0.05,1.57,9.74
1520675532753,0.74,1.69,5.35
1520675532953,-16.18,-5.60,0.09
1520675533151,-26.18,-9.86,-3.87
1520675533352,-15.57,-17.18,-8.98
1520675533550,-8.20,2.49,-4.13
1520675533748,-16.61,-5.25,-1.04
1520675533948,-39.22,-19.11,2.01
1520675534147,-26.13,-15.50,-11.66
1520675534395,-14.41,-1.23,-8.55
1520675534547,-10.97,1.17,0.41
1520675534746,-39.23,-12.76,1.73
1520675534944,-33.28,-20.02,-10.20
1520675535144,-19.77,-6.89,-10.10
1520675535343,-10.05,-0.31,-4.51
1520675535542,-34.02,-9.22,-0.05
1520675535741,-39.23,-21.23,-5.55
1520675535967,-20.70,-13.11,-9.20
1520675536164,-7.51,1.06,-4.13
1520675536363,-17.78,-5.41,3.45
1520675536562,-39.23,-21.15,5.30
1520675536762,-23.61,-17.88,-5.71
1520675536962,-12.37,-3.93,-9.99
1520675537160,-9.20,0.20,0.07
1520675537416,-32.52,-18.05,7.07
1520675537560,-33.95,-20.48,-6.41
1520675537759,-20.06,-12.21,-8.17
1520675537959,-6.71,-0.22,-3.93
1520675538157,-18.13,-4.25,3.56
1520675538356,-39.23,-20.74,1.10
1520675538555,-23.68,-16.90,-6.74
1520675538754,-10.84,-4.22,-9.03
1520675538953,-11.19,0.46,-1.02
1520675539152,-33.48,-15.99,8.54
1520675539352,-32.62,-20.76,-2.43
1520675539551,-19.67,-10.84,-9.53
1520675539750,-7.36,-0.39,-3.09
1520675539949,-19.06,-5.39,4.50
1520675540148,-39.23,-17.56,5.96
1520675540348,-24.03,-17.54,-3.14
1520675540547,-9.58,-0.54,-9.63
1520675540847,-9.43,0.98,0.94
1520675541047,-37.68,-11.35,7.70
1520675541246,-29.79,-21.16,-3.10
1520675541445,-18.42,-10.97,-7.13
1520675541644,-6.59,-0.11,-4.13
1520675541842,-19.67,-3.25,4.45
1520675542042,-39.23,-20.89,7.14
1520675542266,-24.66,-17.53,-2.20
1520675542366,-7.73,1.39,-8.08
1520675542564,-10.12,-2.18,-0.67
1520675542764,-24.17,-13.18,9.54
1520675542964,-12.32,-19.65,5.67
1520675543163,-4.92,-9.27,2.48
1520675543361,-5.65,-7.97,4.15
1520675543660,-2.78,-2.65,7.70
1520675543975,-0.93,-2.28,9.14
1520675543992,-0.48,-1.36,9.53
1520675544259,0.12,-1.02,10.08
1520675544459,0.33,-1.11,9.89
